,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
6255,Cardinia,EMERALD,-37.92994057,145.4422452,Apartment,Entire home/apt,1,1,109,1,19,42,57,24,98,flexible,1,1.03,40
6256,Yarra Ranges,EMERALD,-37.89923402,145.4406869,House,Entire home/apt,1,1,190,2,27,54,84,8,98,strict_14_with_grace_period,3,0.37,40
6257,Yarra Ranges,EMERALD,-37.89944781,145.4402358,House,Entire home/apt,1,2,190,2,18,46,76,30,98,strict_14_with_grace_period,3,1.27,40
6258,Cardinia,EMERALD,-37.9157129,145.4548764,Apartment,Entire home/apt,1,1,199,1,0,0,0,31,100,flexible,1,1.32,40
6259,Cardinia,EMERALD,-37.91445972,145.4563986,House,Entire home/apt,1,2,115,1,17,45,73,82,100,moderate,2,5.62,40
6260,Cardinia,EMERALD,-37.96412425,145.4800146,Bed and breakfast,Private room,1,2,138,1,10,32,62,51,98,moderate,1,2.28,40
6261,Cardinia,EMERALD,-37.95158384,145.4516816,Apartment,Entire home/apt,1,1,105,2,4,34,64,31,98,moderate,1,1.4,40
6262,Yarra Ranges,EMERALD,-37.9097695,145.4297874,Cottage,Entire home/apt,1,1,220,1,7,30,57,71,99,moderate,1,3.71,40
6263,Cardinia,EMERALD,-37.91777108,145.4546071,House,Entire home/apt,5,6,295,1,6,14,30,44,99,strict_14_with_grace_period,1,3.43,40
6264,Yarra Ranges,EMERALD,-37.90923729,145.428917,Hut,Entire home/apt,1,1,190,1,1,20,43,84,100,moderate,1,6.53,40
6265,Cardinia,EMERALD,-37.93537647,145.4384699,Bed and breakfast,Private room,1,3,84,1,0,0,0,13,98,moderate,1,0.99,40
