,city,suburb,latitude,longitude,property_type,room_type,bedrooms,beds,price,minimum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,cancellation_policy,calculated_host_listings_count,reviews_per_month,count
1814,Melbourne,MELBOURNE,-37.81091743,144.9568692,Apartment,Entire home/apt,0,2,89,4,3,18,35,109,97,moderate,1,2.62,4279
1815,Melbourne,MELBOURNE,-37.81441938,144.9536763,Apartment,Shared room,1,4,35,3,18,48,78,5,88,strict_14_with_grace_period,25,0.33,4279
1816,Melbourne,MELBOURNE,-37.81456957,144.9522239,Apartment,Shared room,1,8,35,3,12,17,47,3,90,strict_14_with_grace_period,25,0.08,4279
1817,Melbourne,MELBOURNE,-37.81801581,144.9668798,Apartment,Entire home/apt,2,3,205,2,25,55,85,23,94,strict_14_with_grace_period,24,0.54,4279
1818,Port Phillip,MELBOURNE,-37.8414605,144.9757021,Apartment,Entire home/apt,3,6,249,29,30,60,90,1,80,strict_14_with_grace_period,6,0.03,4279
1819,Port Phillip,MELBOURNE,-37.85335471,144.9816955,Apartment,Private room,1,1,46,7,0,0,0,0,,flexible,1,,4279
1820,Melbourne,MELBOURNE,-37.80886096,144.9600919,Apartment,Entire home/apt,1,1,130,1,0,0,0,13,98,strict_14_with_grace_period,1,0.31,4279
1821,Melbourne,MELBOURNE,-37.8152321,144.9564276,Apartment,Private room,1,2,251,1,0,0,0,0,,flexible,1,,4279
1822,Melbourne,MELBOURNE,-37.81132329,144.9677421,Apartment,Entire home/apt,2,4,119,2,12,38,68,92,90,strict_14_with_grace_period,1,2.17,4279
1823,Boroondara,MELBOURNE,-37.82477647,145.0348835,Apartment,Entire home/apt,2,3,129,3,1,1,1,71,94,strict_14_with_grace_period,1,1.84,4279
1824,Melbourne,MELBOURNE,-37.81152712,144.9572682,Apartment,Private room,1,1,71,1,0,0,0,1,100,moderate,2,0.03,4279
1825,Melbourne,MELBOURNE,-37.81119817,144.9668304,Apartment,Private room,1,1,69,3,0,0,0,12,90,strict_14_with_grace_period,1,0.33,4279
1826,Melbourne,MELBOURNE,-37.81783658,144.9670715,Apartment,Shared room,1,1,550,1,0,0,0,0,,flexible,1,,4279
1827,Melbourne,MELBOURNE,-37.80975374,144.9653117,Apartment,Entire home/apt,2,4,190,1,1,12,30,211,95,strict_14_with_grace_period,3,5.21,4279
1828,Port Phillip,MELBOURNE,-37.84909249,144.979447,Apartment,Entire home/apt,1,1,109,2,0,0,0,7,89,flexible,1,0.17,4279
1829,Melbourne,MELBOURNE,-37.81301202,144.9732977,Apartment,Entire home/apt,2,2,275,4,10,24,44,74,99,strict_14_with_grace_period,4,1.8,4279
1830,Melbourne,MELBOURNE,-37.81623816,144.9653862,Apartment,Entire home/apt,1,2,138,2,8,13,20,187,97,strict_14_with_grace_period,2,4.83,4279
1831,Melbourne,MELBOURNE,-37.82047769,144.9559872,Apartment,Entire home/apt,2,4,251,2,14,18,48,0,,strict_14_with_grace_period,3,,4279
1832,Melbourne,MELBOURNE,-37.8198989,144.9566076,Apartment,Entire home/apt,2,3,251,2,14,18,48,2,90,strict_14_with_grace_period,3,0.14,4279
1833,Melbourne,MELBOURNE,-37.81419391,144.9521976,Apartment,Entire home/apt,2,3,179,2,18,48,72,98,97,strict_14_with_grace_period,23,2.39,4279
1834,Melbourne,MELBOURNE,-37.81580191,144.9531668,Apartment,Entire home/apt,1,2,136,1,21,42,65,268,97,strict_14_with_grace_period,35,6.65,4279
1835,Port Phillip,MELBOURNE,-37.84104013,144.9756507,Apartment,Entire home/apt,2,2,251,100,0,0,0,37,98,moderate,1,0.9,4279
1836,Melbourne,MELBOURNE,-37.81158313,144.9651935,Apartment,Entire home/apt,1,2,145,4,0,0,0,7,96,strict_14_with_grace_period,1,0.17,4279
1837,Melbourne,MELBOURNE,-37.81090426,144.9703067,Apartment,Entire home/apt,2,2,199,1,20,47,77,10,82,strict_14_with_grace_period,2,0.25,4279
1838,Melbourne,MELBOURNE,-37.8090061,144.9623966,Apartment,Private room,1,1,84,1,29,59,89,11,91,flexible,1,0.27,4279
1839,Melbourne,MELBOURNE,-37.81115592,144.9702517,Apartment,Private room,1,1,100,1,30,60,90,10,78,strict_14_with_grace_period,2,0.26,4279
1840,Melbourne,MELBOURNE,-37.81004225,144.9644078,Apartment,Private room,1,1,115,1,28,58,88,9,88,moderate,1,0.22,4279
1841,Melbourne,MELBOURNE,-37.81833798,144.9558355,Apartment,Private room,1,1,109,2,12,16,46,73,97,moderate,1,1.77,4279
1842,Melbourne,MELBOURNE,-37.81713199,144.9707641,Apartment,Entire home/apt,1,1,150,3,11,21,42,55,97,strict_14_with_grace_period,4,1.33,4279
1843,Melbourne,MELBOURNE,-37.81454633,144.9621985,Loft,Entire home/apt,1,3,129,1,0,0,0,218,99,moderate,6,5.35,4279
1844,Melbourne,MELBOURNE,-37.80712469,144.9613471,Apartment,Entire home/apt,2,1,199,1,0,0,0,0,,flexible,1,,4279
1845,Melbourne,MELBOURNE,-37.81248675,144.9716694,Apartment,Entire home/apt,1,1,125,2,2,3,6,126,98,flexible,1,3.07,4279
